resource_id,primary_secondary,author,year,title,resource_type,doi_ISBN,resource_journal,resource_volume_pages
r233,primary,"Waller, R. G., Stone, R. P., Rice, L. N., Johnstone, J., Rossin, A. M., Hartill, E., ... & Morrison, C. L.",2019,Phenotypic plasticity or a reproductive dead end? Primnoa pacifica(Cnidaria: Alcyonacea) in the Southeastern Alaska Region,article,10.3389/fmars.2019.00709,Front. Mar. Sci.,6709
r234,primary,"Achituv, Y. & Benayahu, Y.",1990,"Polyp dimorphism and functional, sequential hermaphroditism in the soft coral Heteroxenia fuscescens (Octocorallia) ",article,,Mar. Ecol. Prog. Ser.,"64: 263-269, "
r235,primary,"Maldonado, M., López-Acosta, M., Sánchez-Tocino, L., & Sitjà, C.",2013,"The rare, giant gorgonian Ellisella paraplexauroides: demographics and
conservation concerns",article,10.3354/meps10172,Mar. Ecol. Prog. Ser.,479:127-141
r236,primary,"Achituv, Y., Benayahu, Y., & Hanania, J.",1992,Planulae brooding and acquisition of zooxanthellae in Xenia macrospiculata (Cnidaria: Octocorallia),article,10.1007/BF02367101,Helgoländer Meeresuntersuchungen,"46, 301–310"
r237,primary,"Barbosa, T. M., Gomes, P. B., Bergeron, A. S., Santos, A. M., Chagas, C., Freitas, E. M., & Perez, C. D.",2014,"Comparisons of sexual reproduction in Carijoa riisei (Cnidaria, Alcyonacea) in South Atlantic, Caribbean, and Pacific areas",article,10.1007/s10750-014-1893-6,Hydrobiologia,734(1)
r238,primary,"Mandelberg-Aharon, Y., & Benayahu, Y.",2015,"Reproductive features of the Red Sea octocoral Sarcophyton auritum Verseveldt & Benayahu, 1978 are uniform within generic boundaries across wide biogeographical regions",article,10.1007/s10750-015-2225-1,Hydrobiologia,"759, 119–132"
r239,primary,"Torre, L.",2013,"Reproductive biology of the Antarctic ‘‘sea pen’’ Malacobelemnon daytoni (Octocorallia, Pennatulacea, Kophobelemnidae)",article,10.3402/polar.v32i0.20040,Polar Research,32
r240,primary,"Lopes, V. M., Baptista, M., Pimentel, M. S., Repolho, T., Narciso, L., & Rosa, R.",2012,Reproduction in Octocorallia: Synchronous spawning and asynchronous oogenesis in the pennatulid Veretillum cynomorium,article,10.1080/17451000.2012.693616,Mar. Biol. Res.,"8(9), 893-900"
r241,primary,"Ritson-Williams, R.",2010,Surface brooding in the Caribbean gorgonian Pterogorgia anceps,article,10.1007/s00338-010-0585-6,Coral Reefs,"29,437"
r242,primary,"Baillon, S., Hamel, J. F., Wareham, V. E., & Mercier, A.",2014,Seasonality in reproduction of the deep-water pennatulacean coral Anthoptilum grandiflorum,article,10.1007/s00227-013-2311-8,Mar Biol,"161, 29–43"
r243,primary,"Hwang, S. J., & Song, J. I.",2012,Sexual reproduction of the soft coral Dendronephthya castanea (Alcyonacea: Nephtheidae),article,10.1080/19768354.2011.622486,Animal Cells and Systems,"16:2, 135-144"
r244,primary,"Teixidó, N., Bensoussan, N., Gori, A., Fiorillo, I., & Viladrich, N. ",2015,Sexual reproduction and early life-history traits of the Mediterranean soft coral Alcyonium acaule,article,10.1111/maec.12255,Marine Ecology,"37(1),134-144"
r245,primary,"Coelho, M. A., & Lasker, H. R.",2014,Reproductive biology of the Caribbean brooding octocoral Antillogorgia hystrix,article,10.1111/ivb.12070,Invertebrate Biology,"133(4),299-313"
